rangeIdx,[5 6 7 5 6 7 6 5 6 7 5 6 7]
numObj,13
range,"[ 0.62496094  0.74995312  0.87494531  0.62496094  0.74995312  0.87494531
  0.74995312  0.62496094  0.74995312  0.87494531  0.62496094  0.74995312
  0.87494531]"
dopplerIdx,[ 0  0  0  1  1  1  2 -2 -2 -2 -1 -1 -1]
doppler,"[ 0.          0.          0.          0.02926761  0.02926761  0.02926761
  0.05853521 -0.05853521 -0.05853521 -0.05853521 -0.02926761 -0.02926761
 -0.02926761]"
peakVal,[ 202  391  289  454  787  514  174  223  413  304  794 1449 1020]
y,"[ 0.46875    0.5625     0.6640625  0.4375     0.546875   0.6640625
  0.546875   0.453125   0.5625     0.6640625  0.453125   0.546875
  0.6640625]"
x,"[-0.4140625 -0.4921875 -0.578125  -0.453125  -0.515625  -0.578125  -0.515625
 -0.4296875 -0.4921875 -0.578125  -0.4296875 -0.515625  -0.578125 ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
