rangeIdx,[ 5  6  7  5  6  7 16  6  6  7  5  6  7 16]
numObj,14
range,"[ 0.62496094  0.74995312  0.87494531  0.62496094  0.74995312  0.87494531
  1.999875    0.74995312  0.74995312  0.87494531  0.62496094  0.74995312
  0.87494531  1.999875  ]"
dopplerIdx,[ 0  0  0  1  1  1  1  2 -2 -2 -1 -1 -1  1]
doppler,"[ 0.          0.          0.          0.02926761  0.02926761  0.02926761
  0.02926761  0.05853521 -0.05853521 -0.05853521 -0.02926761 -0.02926761
 -0.02926761  0.02926761]"
peakVal,[122 209 146 359 631 435  97 144 217 161 523 906 631  84]
y,"[ 0.453125   0.5625     0.6640625  0.453125   0.546875   0.6640625
  1.3203125  0.5625     0.5625     0.6796875  0.453125   0.5625     0.6640625
  0.96875  ]"
x,"[-0.4296875 -0.4921875 -0.578125  -0.4296875 -0.515625  -0.578125  -1.5
 -0.4921875 -0.4921875 -0.546875  -0.4296875 -0.4921875 -0.578125   1.75     ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
