rangeIdx,[ 3 15 16  2  3  6 15 16  3  5  6  7 15 16 15 16]
numObj,16
range,"[ 0.37497656  1.87488281  1.999875    0.24998438  0.37497656  0.74995312
  1.87488281  1.999875    0.37497656  0.62496094  0.74995312  0.87494531
  1.87488281  1.999875    1.87488281  1.999875  ]"
dopplerIdx,[ 0  0  0  1  1  1  1  1  2 -1 -1 -1  0  0  1  1]
doppler,"[ 0.          0.          0.          0.02926761  0.02926761  0.02926761
  0.02926761  0.02926761  0.05853521 -0.02926761 -0.02926761 -0.02926761
  0.          0.          0.02926761  0.02926761]"
peakVal,[163  66  92 273 363 381 148 208 141 256 459 328  59  83 143 185]
y,"[ 0.         0.65625    0.84375    0.         0.         0.546875   0.65625
  0.6953125  0.         0.453125   0.546875   0.6640625  1.875      2.
  1.875      2.       ]"
x,"[-0.375      1.7578125  1.8125    -0.25      -0.375     -0.515625
  1.7578125  1.875     -0.375     -0.4296875 -0.515625  -0.578125   0.0625
  0.0625     0.0625     0.0625   ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
