rangeIdx,[18 20 29 30 18 20 29]
numObj,7
range,"[ 2.24985938  2.49984375  3.62477344  3.74976563  2.24985938  2.49984375
  3.62477344]"
dopplerIdx,[-1 -1 -1 -1 -1 -1 -1]
doppler,"[-0.02926761 -0.02926761 -0.02926761 -0.02926761 -0.02926761 -0.02926761
 -0.02926761]"
peakVal,[202 167 176 188 161 132 149]
y,[ 1.4921875  2.2109375  3.59375    3.65625    2.109375   2.5        3.3125   ]
x,[-1.6875    -1.171875   0.453125   0.8203125  0.7734375  0.         1.4765625]
z,[ 0.  0.  0.  0.  0.  0.  0.]
