rangeIdx,[ 5 16 17 18 17 16 17 18]
numObj,8
range,"[ 0.62496094  1.999875    2.12486719  2.24985938  2.12486719  1.999875
  2.12486719  2.24985938]"
dopplerIdx,[ 1  1  1  1  2 -1 -1 -1]
doppler,"[ 0.02926761  0.02926761  0.02926761  0.02926761  0.05853521 -0.02926761
 -0.02926761 -0.02926761]"
peakVal,[338 341 404 187 123 265 297 138]
y,"[ 0.21875    1.25       1.328125   1.3125     1.2421875  1.25       1.328125
  1.3125   ]"
x,"[-0.5859375 -1.5625    -1.6640625 -1.828125  -1.7265625 -1.5625    -1.6640625
 -1.828125 ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.]
