rangeIdx,[ 5  6 16 17  5  6 17  5  6  4  5  6  7 16 17 18 16 17]
numObj,18
range,"[ 0.62496094  0.74995312  1.999875    2.12486719  0.62496094  0.74995312
  2.12486719  0.62496094  0.74995312  0.49996875  0.62496094  0.74995312
  0.87494531  1.999875    2.12486719  2.24985938  1.999875    2.12486719]"
dopplerIdx,[ 0  0  0  0  1  1  1 -2 -2 -1 -1 -1 -1 -1 -1 -1  0  1]
doppler,"[ 0.          0.          0.          0.          0.02926761  0.02926761
  0.02926761 -0.05853521 -0.05853521 -0.02926761 -0.02926761 -0.02926761
 -0.02926761 -0.02926761 -0.02926761 -0.02926761  0.          0.02926761]"
peakVal,"[ 431  405   73  110  465  513  165  422  414  412 1211 1203  575  155  218
  159   55  130]"
y,"[ 0.21875    0.2578125  1.3203125  1.4765625  0.265625   0.40625    1.4765625
  0.21875    0.3203125  0.171875   0.21875    0.3203125  0.5078125
  1.0703125  1.03125    0.953125   1.65625    1.9921875]"
x,"[-0.5859375 -0.703125  -1.5       -1.53125   -0.5703125 -0.6328125 -1.53125
 -0.5859375 -0.6796875 -0.46875   -0.5859375 -0.6796875 -0.7109375 -1.6875
 -1.859375  -2.0390625  1.125      0.734375 ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
