rangeIdx,[ 3 16 17 18  2  3  4 16 17 16 16]
numObj,11
range,"[ 0.37497656  1.999875    2.12486719  2.24985938  0.24998438  0.37497656
  0.49996875  1.999875    2.12486719  1.999875    1.999875  ]"
dopplerIdx,[ 0  1  1  1 -1 -1 -1 -1 -1  1 -1]
doppler,"[ 0.          0.02926761  0.02926761  0.02926761 -0.02926761 -0.02926761
 -0.02926761 -0.02926761 -0.02926761  0.02926761 -0.02926761]"
peakVal,[130 213 251 122 292 373 228 148 179 157 148]
y,"[ 0.         1.25       1.328125   1.3125     0.0625     0.09375    0.125
  1.3203125  1.2421875  2.         2.       ]"
x,"[-0.375     -1.5625    -1.6640625 -1.828125  -0.2421875 -0.3671875
 -0.484375  -1.5       -1.7265625  0.0625     0.0625   ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
