rangeIdx,[2 3 5 6 2 3 4 5 6 7 5 6 7 5 6 7]
numObj,16
range,"[ 0.24998438  0.37497656  0.62496094  0.74995312  0.24998438  0.37497656
  0.49996875  0.62496094  0.74995312  0.87494531  0.62496094  0.74995312
  0.87494531  0.62496094  0.74995312  0.87494531]"
dopplerIdx,[ 0  0  0  0  1  1  1  1  1  1 -2 -2 -2 -1 -1 -1]
doppler,"[ 0.          0.          0.          0.          0.02926761  0.02926761
  0.02926761  0.02926761  0.02926761  0.02926761 -0.05853521 -0.05853521
 -0.05853521 -0.02926761 -0.02926761 -0.02926761]"
peakVal,[134 150 102 174 301 347 235 354 630 445 129 224 153 519 903 620]
y,"[ 0.0625     0.09375    0.46875    0.5625     0.0625     0.09375    0.171875
  0.46875    0.5625     0.6640625  0.46875    0.5625     0.6640625  0.46875
  0.5625     0.6640625]"
x,"[-0.2421875 -0.3671875 -0.4140625 -0.4921875 -0.2421875 -0.3671875 -0.46875
 -0.4140625 -0.4921875 -0.578125  -0.4140625 -0.4921875 -0.578125
 -0.4140625 -0.4921875 -0.578125 ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
