rangeIdx,[6 7 6 7 6 7 5 6 7 8]
numObj,10
range,"[ 0.74995312  0.87494531  0.74995312  0.87494531  0.74995312  0.87494531
  0.62496094  0.74995312  0.87494531  0.9999375 ]"
dopplerIdx,[ 0  0  1  1 -2 -2 -1 -1 -1 -1]
doppler,"[ 0.          0.          0.02926761  0.02926761 -0.05853521 -0.05853521
 -0.02926761 -0.02926761 -0.02926761 -0.02926761]"
peakVal,[202 218 506 485 249 248 348 858 871 353]
y,"[ 0.546875   0.6328125  0.5234375  0.609375   0.546875   0.6328125  0.4375
  0.5234375  0.609375   0.6953125]"
x,"[-0.515625  -0.6015625 -0.5390625 -0.6328125 -0.515625  -0.6015625
 -0.453125  -0.5390625 -0.6328125 -0.71875  ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
