rangeIdx,[16 17 18  6  7 16 17 18]
numObj,8
range,"[ 1.999875    2.12486719  2.24985938  0.74995312  0.87494531  1.999875
  2.12486719  2.24985938]"
dopplerIdx,[ 1  1  1 -1 -1 -1 -1 -1]
doppler,"[ 0.02926761  0.02926761  0.02926761 -0.02926761 -0.02926761 -0.02926761
 -0.02926761 -0.02926761]"
peakVal,[323 387 231 485 457 264 308 197]
y,"[ 1.25       1.328125   1.3125     0.5859375  0.703125   1.25       1.328125
  1.3125   ]"
x,"[-1.5625    -1.6640625 -1.828125  -0.46875   -0.5234375 -1.5625    -1.6640625
 -1.828125 ]"
z,[ 0.  0.  0.  0.  0.  0.  0.  0.]
